record_id,employee_id,month,working_days,days_present,leave_days,wfh_days
72,1032,2026-02,20,19,1,8
73,1033,2026-02,20,18,2,6
74,1034,2026-02,20,15,5,4
75,1035,2026-02,20,19,1,3
76,1036,2026-02,20,20,0,2
77,1037,2026-02,20,20,0,5
78,1038,2026-02,20,15,5,2
79,1039,2026-02,20,20,0,4
80,1040,2026-02,20,20,0,0
81,1001,2026-03,22,22,0,6
82,1002,2026-03,22,20,2,4
83,1003,2026-03,22,21,1,4
84,1004,2026-03,22,22,0,2
85,1005,2026-03,22,22,0,7
86,1006,2026-03,22,22,0,5
87,1007,2026-03,22,19,3,8
88,1008,2026-03,22,22,0,0
89,1009,2026-03,22,19,3,4
90,1010,2026-03,22,22,0,2
91,1011,2026-03,22,22,0,6
92,1012,2026-03,22,22,0,4
93,1013,2026-03,22,21,1,3
94,1014,2026-03,22,22,0,0
95,1015,2026-03,22,22,0,1
96,1016,2026-03,22,22,0,0
97,1017,2026-03,22,22,0,4
98,1018,2026-03,22,22,0,3
99,1019,2026-03,22,22,0,8
100,1020,2026-03,22,20,2,2
101,1021,2026-03,22,21,1,6
102,1022,2026-03,22,21,1,7
103,1023,2026-03,22,22,0,2
104,1024,2026-03,22,22,0,8
105,1025,2026-03,22,21,1,8
106,1026,2026-03,22,22,0,8
107,1027,2026-03,22,21,1,0
108,1028,2026-03,22,20,2,3
109,1029,2026-03,22,22,0,0
110,1030,2026-03,22,22,0,5
111,1031,2026-03,22,19,3,6
112,1032,2026-03,22,20,2,8
113,1033,2026-03,22,22,0,0
114,1034,2026-03,22,21,1,3
115,1035,2026-03,22,22,0,0
116,1036,2026-03,22,22,0,1
117,1037,2026-03,22,21,1,8
118,1038,2026-03,22,20,2,1
119,1039,2026-03,22,21,1,1
120,1040,2026-03,22,21,1,7
121,1001,2026-04,21,21,0,1
122,1002,2026-04,21,19,2,3
123,1003,2026-04,21,20,1,3
124,1004,2026-04,21,21,0,7
125,1005,2026-04,21,21,0,6
126,1006,2026-04,21,21,0,4
127,1007,2026-04,21,20,1,3
128,1008,2026-04,21,21,0,2
129,1009,2026-04,21,21,0,4
130,1010,2026-04,21,20,1,2
131,1011,2026-04,21,21,0,0
132,1012,2026-04,21,21,0,1
133,1013,2026-04,21,20,1,7
134,1014,2026-04,21,21,0,8
135,1015,2026-04,21,21,0,7
136,1016,2026-04,21,21,0,1
137,1017,2026-04,21,16,5,8
138,1018,2026-04,21,21,0,1
139,1019,2026-04,21,18,3,0
140,1020,2026-04,21,21,0,1
141,1021,2026-04,21,19,2,7
142,1022,2026-04,21,16,5,6
143,1023,2026-04,21,21,0,3
144,1024,2026-04,21,21,0,1
145,1025,2026-04,21,21,0,8
146,1026,2026-04,21,21,0,5
147,1027,2026-04,21,21,0,8
148,1028,2026-04,21,21,0,1
149,1029,2026-04,21,20,1,3
150,1030,2026-04,21,21,0,7
151,1031,2026-04,21,21,0,2
152,1032,2026-04,21,21,0,7
153,1033,2026-04,21,20,1,6
154,1034,2026-04,21,21,0,2
155,1035,2026-04,21,21,0,6
156,1036,2026-04,21,21,0,5
157,1037,2026-04,21,21,0,5
158,1038,2026-04,21,19,2,1
159,1039,2026-04,21,18,3,3
160,1040,2026-04,21,20,1,4
161,1001,2026-05,21,21,0,1
162,1002,2026-05,21,21,0,1
163,1003,2026-05,21,21,0,6
164,1004,2026-05,21,20,1,0
165,1005,2026-05,21,21,0,0
166,1006,2026-05,21,19,2,4
167,1007,2026-05,21,20,1,2
168,1008,2026-05,21,21,0,4
169,1009,2026-05,21,21,0,5
170,1010,2026-05,21,21,0,5
171,1011,2026-05,21,20,1,6
172,1012,2026-05,21,19,2,6
173,1013,2026-05,21,18,3,8
174,1014,2026-05,21,20,1,1
175,1015,2026-05,21,21,0,6
176,1016,2026-05,21,21,0,2
177,1017,2026-05,21,20,1,4
178,1018,2026-05,21,21,0,8
179,1019,2026-05,21,21,0,7
180,1020,2026-05,21,21,0,4
181,1021,2026-05,21,21,0,4
182,1022,2026-05,21,21,0,3
183,1023,2026-05,21,21,0,8
184,1024,2026-05,21,20,1,1
185,1025,2026-05,21,21,0,2
186,1026,2026-05,21,21,0,8
187,1027,2026-05,21,18,3,7
188,1028,2026-05,21,20,1,7
189,1029,2026-05,21,18,3,7
190,1030,2026-05,21,21,0,8
191,1031,2026-05,21,21,0,1
192,1032,2026-05,21,21,0,8
193,1033,2026-05,21,21,0,3
194,1034,2026-05,21,21,0,3
195,1035,2026-05,21,19,2,6
196,1036,2026-05,21,21,0,8
197,1037,2026-05,21,21,0,4
198,1038,2026-05,21,21,0,0
199,1039,2026-05,21,21,0,5
200,1040,2026-05,21,21,0,8
201,1001,2026-06,22,21,1,3
202,1002,2026-06,22,22,0,3
203,1003,2026-06,22,22,0,7
204,1004,2026-06,22,22,0,4
205,1005,2026-06,22,20,2,0
206,1006,2026-06,22,22,0,6
207,1007,2026-06,22,21,1,7
208,1008,2026-06,22,19,3,7
209,1009,2026-06,22,22,0,6
210,1010,2026-06,22,19,3,8
211,1011,2026-06,22,20,2,7
212,1012,2026-06,22,22,0,1
213,1013,2026-06,22,22,0,2
214,1014,2026-06,22,21,1,1
215,1015,2026-06,22,19,3,7
216,1016,2026-06,22,22,0,0
217,1017,2026-06,22,22,0,2
218,1018,2026-06,22,22,0,0
219,1019,2026-06,22,21,1,4
220,1020,2026-06,22,19,3,4
221,1021,2026-06,22,21,1,6
222,1022,2026-06,22,21,1,1
223,1023,2026-06,22,22,0,4
224,1024,2026-06,22,21,1,3
225,1025,2026-06,22,22,0,3
226,1026,2026-06,22,21,1,0
227,1027,2026-06,22,22,0,4
228,1028,2026-06,22,17,5,4
229,1029,2026-06,22,19,3,3
230,1030,2026-06,22,22,0,3
231,1031,2026-06,22,21,1,0
232,1032,2026-06,22,19,3,4
233,1033,2026-06,22,22,0,3
234,1034,2026-06,22,22,0,6
235,1035,2026-06,22,22,0,3
236,1036,2026-06,22,21,1,5
237,1037,2026-06,22,22,0,0
238,1038,2026-06,22,21,1,6
239,1039,2026-06,22,22,0,6
240,1040,2026-06,22,22,0,4
